avano	haveneau, havenet
grolar	prizzly, pizzly
moulin_à_légumes	passe-vite, moulin-légumes
fagne	sphaigneraie, Hygrosphagnium, tourbière_perchée
abrupt	à_pic, raide, à-pic
se_la_donner	taquiner
BBS	babillard_électronique
alumnat	séminaire, petit, juvénat
pays_Jebala	pays_de_Jebala, Jebala
foulage	marchage, timbre_sec
inintéressant	nawak, banal
corps_céleste	astre, objet_céleste
BCD	décimal_codé_binaire
registre_sublime	registre_noble, registre_relevé, registre_littéraire
téléverser	uploader, mettre_en_ligne
nerf_cardio-pneumo-entérique	nerf_vague, nerf_pneumo-gastrique
iontophorèse	ionophorèse
marmonnement	grommellement, marmottement
broyot	broquotte
amaurose	goutte_sereine
margouillat	gecko, mabouillat, mabouya
fagot	margotin
aubinet	Saint-Aubinet, saint-aubinet
grandiloquent	ronflant
gammare	crevettine, crevette_d'eau_douce
Manchot	Manchois
caablé	chablis
stylo-feutre	feutre, crayon-feutre
comme_des_harengs	comme_des_sardines
bogue	oignon, toquante
pop_glacé	glace_à_l'eau
X	Polytechnique
faucheur	faucheux
flip	déprime, flic-flac, flip-flap
déshumidifier	sécher, assécher, dessécher, déshumecter, déshydrater
nibble	semioctet, tétrade, quartet
océan_Atlantique	Atlantique
Cahorsin	Cadurcien
grue_royale	grue_couronnée_grise
bloc-notes	carnet, calepin
desvenlafaxine	O-desvenlafaxine
anathématiser	excommunier
avare	regardant, usurier, rapiat, harpagon, grippe-sou, radin, fesse-mathieu, caque-denier, près_de_ses_cennes, séraphin, parcimonieux, chiche-face, près_de_ses_sous, picsou, pingre, ladre
Yangzi_Jiang	Chang_Jiang, fleuve_Bleu, Yang-tsê_Kiang, Yangtsé
refroidisseur	réfrigérant
phosétyl-Al	ÉPAL, RP_32545, forsétyl-al, éfosite-Al, fosetyl, fosétyl-aluminium, LS_74783, éthylphosphite_d’aluminium, aluminium_tris(éthyl_phosphonate), tris-O-éthylphosphonate_d’aluminium
non_plus	ni
papemobile	papamobile
tel_qui_rit_vendredi,_dimanche_pleurera	rira_bien_qui_rira_le_dernier
emballage-coque	blister
académicien	académiste
métabolique	métabolitique
adjudant-chef	juteux-chef
Salvadorien	Salvadorègne
Rosacées	églantier, rose
bon_appétit	bande_d’abrutis‎, appétit, un_excellent_appétit
rendre_son_âme_à_Dieu	rendre_l’âme
bifénox	méthyl_5-(2,4-dichlorophénoxy)-2-nitrobenzoate
zythogale	zythogala
travailler_du_chapeau	ne_pas_avoir_la_lumière_à_tous_les_étages, taper_dans_les_gamelles
sifaka	propithèque
fictif	imaginaire
avoir_l’estomac_dans_les_talons	mourir_de_faim, avoir_la_dalle, crever_la_dalle, avoir_une_faim_de_loup
autocollant	adhésif
lompe	cycloptère, grosse_poule_de_mer, lièvre_de_mer
requin_gris_de_récif	requin_dagsit, requin_à_queue_noire
Bonairien	Buenos-Airien, Bonaréen, Pampéen_supérieur
glace	spéculum, vitre, crème_glacée, givrure, vitrage, vitrine, ice-cream, psyché, sorbet, réflecteur, rétroviseur, trumeau, miroir
irroration	brumisation, irrigation, arrosage, pulvérisation
Révolution_de_Juillet	les_Trois_Glorieuses
créseau	carisel, carsaie, cariset
patère	crochet
fornication	adultère
décoration	déco
protandrie	protérandrie
localité	bourgade, trou, ville, bourg, hameau, commune, agglomération, village, patelin, coin, lieu
abrute	imparipenné
thyroïdectomie	isthmectomie
flexibilité	malléabilité, souplesse, adaptabilité
zawiya	zaouïa, zawiyah, zaouia
hélitreuillage	héliportage
champ_de_gravité	champ_de_pesanteur, champ_gravitationnel
Umbriel	Uranus_II
caresser_dans_le_sens_du_poil	amignonner, passer_la_brosse_à_reluire, cirer_les_pompes
transférabilité	transportabilité
hypolipidémiant	hypolipémiant
foëne	angon
demi-teinte	demi-ton
didacticiel	exerciseur
écrivailler	écrivasser
welter	mi-moyen
ne_savoir_où_se_mettre	ne_savoir_où_se_fourrer, ne_plus_savoir_où_se_foutre, ne_pas_savoir_où_se_foutre
monstre	bête, créature
anaglypte	anaglyphe
anhéler	haleter
tension_artérielle	pression_artérielle
lambliase	giardiase, giardiose
baleineau	baleinon
avoir_peur	trouillarder, avoir_la_pétasse, avoir_la_tremblote, avoir_la_trouille, avoir_les_pétoches, avoir_la_pétoche, avoir_les_jetons, avoir_la_frousse
trottinette	patinette
désembieller	débieller
condimentaire	aromatique
forfait	convention, faute, délit, contrat, attentat, désistement, forfaiture, homicide, trahison, abandon, malversation, abonnement, crime, méfait
triglycéride	triacylglycéride, triacylglycérol
admonester	tancer, blâmer, chapitrer, réprimander, gronder, gourmander
antiphilosophique	misologique
Sao_Tomé-et-Principe	São_Tomé_e_Príncipe, Saint-Thomas-et-île_du_Prince, Saint-Thomas-et-Prince, îles_du_Milieu_du_Monde, île_Chocolat
sociopathe	antisocial
spermatozoïde	spermatozoaire
ligament_alvéolo-dentaire	desmodonte
